CountryCode,location,FirstDate,MissingDate,LastDate
NGA,Nigeria,12/31/2019,3/5/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/6/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/7/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/8/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/9/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/11/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/12/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/13/2020,6/19/2020
NGA,Nigeria,12/31/2019,3/14/2020,6/19/2020
CUW,Curacao,3/13/2020,3/14/2020,6/19/2020
CUW,Curacao,3/13/2020,3/15/2020,6/19/2020
CUW,Curacao,3/13/2020,3/16/2020,6/19/2020
CUW,Curacao,3/13/2020,3/17/2020,6/19/2020
CUW,Curacao,3/13/2020,3/18/2020,6/19/2020
CUW,Curacao,3/13/2020,3/19/2020,6/19/2020
CUW,Curacao,3/13/2020,3/21/2020,6/19/2020
CUW,Curacao,3/13/2020,3/22/2020,6/19/2020
CUW,Curacao,3/13/2020,3/23/2020,6/19/2020
CUW,Curacao,3/13/2020,3/25/2020,6/19/2020
CUW,Curacao,3/13/2020,3/31/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/3/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/4/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/5/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/6/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/8/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/9/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/10/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/12/2020,6/19/2020
MKD,North Macedonia,12/31/2019,3/15/2020,6/19/2020
SVK,Slovak Republic,3/7/2020,3/10/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/7/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/8/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/9/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/10/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/11/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/14/2020,6/19/2020
BIH,Bosnia and Herzegovina,3/6/2020,3/15/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/11/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/12/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/13/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/14/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/16/2020,6/19/2020
MNG,Mongolia,3/10/2020,3/17/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/4/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/5/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/8/2020,6/19/2020
LBN,Lebanon,12/31/2019,3/14/2020,6/19/2020
IRQ,Iraq,12/31/2019,3/7/2020,6/19/2020
IRQ,Iraq,12/31/2019,3/10/2020,6/19/2020
SAU,Saudi Arabia,3/3/2020,3/4/2020,6/19/2020
